cfg_name,cfg_K,cfg_hold_months,cfg_weighting,cfg_cost_bps_per_leg,cfg_cash_yield_apr,cfg_crash_gate,cfg_soft_cash,cfg_score_fn_name,cfg_pick_filter,cfg_conv_lambda,cfg_cash_score_floor,n_months,cagr,sharpe,sortino,max_dd,best_m,worst_m,positive_months,total_months,cash_months,window,wall_time_s,run_id
v3_baseline_repro,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.21,20260510_130640_v3_baseline_repro_244457f41e_research
v3_baseline_full,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,268,0.3977406189318511,0.9553637477926258,2.606879405908285,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,168,268,4,full,0.22,20260510_130658_v3_baseline_full_fe0be4c9a5_full
exp_00_baseline,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.17,20260510_132933_exp_00_baseline_e582236c24_research
exp_01_conv_lo,3,6,conv,5.0,0.0,True,False,ml_3plus6,none,0.5,0.0,248,0.39523233529135093,0.8704460066547839,2.3416085654467627,-0.6151003582536428,0.9765482291572026,-0.3789975097329532,148,248,4,research,0.17,20260510_132933_exp_01_conv_lo_33c637d12f_research
exp_02_conv_hi,3,6,conv,5.0,0.0,True,False,ml_3plus6,none,1.5,0.0,248,0.34533009305830586,0.7450819054316117,1.9627097901085844,-0.7155452185846785,1.1925410762966218,-0.4055596852399344,140,248,4,research,0.17,20260510_132933_exp_02_conv_hi_b0a472b697_research
exp_03_conv_floor,3,6,conv,5.0,0.0,True,False,ml_3plus6,none,0.5,0.25,248,0.39523233529135093,0.8704460066547839,2.3416085654467627,-0.6151003582536428,0.9765482291572026,-0.3789975097329532,148,248,4,research,0.18,20260510_132933_exp_03_conv_floor_b80db091fd_research
exp_04_accel,3,6,ew,5.0,0.0,True,False,ml_3plus6,accel,0.0,0.0,248,0.42388823004450726,0.9636841895933133,2.6555944985950393,-0.4982861928502926,0.8495509234283266,-0.3357942381205953,153,248,4,research,0.32,20260510_132934_exp_04_accel_625dd7a5b7_research
exp_05_donchian,3,6,ew,5.0,0.0,True,False,ml_3plus6,donchian130,0.0,0.0,248,0.48730521686462325,1.0034695361228718,2.7756100000408668,-0.5698805278680615,0.8495509234283266,-0.3357942381205953,157,248,4,research,0.21,20260510_132934_exp_05_donchian_63e5d753dd_research
exp_06_softcash,3,6,ew,5.0,0.03,False,True,ml_3plus6,none,0.0,0.0,248,0.20790924820959678,0.7570684485350454,1.5890329214204981,-0.5988307399734966,0.6724089284259637,-0.3357942381205953,155,248,0,research,0.15,20260510_132934_exp_06_softcash_f258831d0c_research
exp_07_softcash_combo,3,6,conv,5.0,0.03,False,True,ml_3plus6,none,0.5,0.0,248,0.21237193296621393,0.6997609522500278,1.542468303999303,-0.6151003582536428,0.9185047435893133,-0.3789975097329532,150,248,0,research,0.16,20260510_132934_exp_07_softcash_combo_5514670d10_research
exp_08_baseline_cy,3,6,ew,5.0,0.03,True,False,ml_3plus6,none,0.0,0.0,248,0.40845440987251,0.9540243527323292,2.6147612542250513,-0.49456494553078356,0.8495509234283266,-0.3357942381205953,159,248,4,research,0.16,20260510_132934_exp_08_baseline_cy_523866994c_research
exp_09_ml136,3,6,ew,5.0,0.0,True,False,ml_136,none,0.0,0.0,248,0.36942295798611524,0.8847528288615064,2.306560860356457,-0.49828619285029274,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.16,20260510_133107_exp_09_ml136_d839b93465_research
exp_10_K1,1,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.286142213267889,0.6183909505247764,1.7215161110819035,-0.8038217546777913,1.735244534313773,-0.36925291463227705,138,248,4,research,0.14,20260510_133107_exp_10_K1_8be0a0d00a_research
exp_11_K2,2,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.3709712962218785,0.8127129101356565,2.0673733255765736,-0.6906744930515393,1.0267104282292647,-0.43046682431967015,149,248,4,research,0.15,20260510_133108_exp_11_K2_bcd7c99a52_research
exp_12_K5,5,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.2991550348701866,0.8439587063022979,2.031207091764972,-0.5909142089595415,0.6831168431740364,-0.30405007199036277,157,248,4,research,0.17,20260510_133108_exp_12_K5_4e1dbf90dc_research
exp_13_h3,3,3,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.3154410848199236,0.8335858266716962,2.063011775764817,-0.5671508992865044,0.7493674669860981,-0.3357942381205953,148,248,5,research,0.24,20260510_133108_exp_13_h3_26522f14a7_research
exp_14_h12,3,12,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.35073711238788685,0.9679994297242328,2.483738381247411,-0.5876047160434913,0.8284814542966099,-0.24374016103796856,153,248,4,research,0.12,20260510_133108_exp_14_h12_42b3e13ab4_research
exp_15_K2_h3,2,3,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.3372778757969599,0.8038010668766825,1.9111901562178248,-0.6906744930515392,1.0267104282292647,-0.43046682431967015,149,248,5,research,0.25,20260510_133108_exp_15_K2_h3_1df82efb4a_research
exp_16_K5_h3,5,3,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.2657529142372155,0.8012290588485221,1.8755849458105673,-0.6067424042728493,0.639333458169927,-0.30405007199036277,154,248,5,research,0.27,20260510_133109_exp_16_K5_h3_da6f3230a0_research
exp_17_K1_h3,1,3,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.3233833813626048,0.7267521180005503,1.758237650611078,-0.7983221324544179,1.508474720103142,-0.36925291463227705,149,248,5,research,0.23,20260510_133109_exp_17_K1_h3_030080d217_research
exp_18_K1_h12,1,12,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.19155000760297325,0.5880510396411878,1.1411031961426652,-0.8647724361824034,0.7347384799643766,-0.5180205160282181,140,248,4,research,0.1,20260510_133109_exp_18_K1_h12_e0e2f76659_research
exp_19_baseline_repro,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.16,20260510_134922_exp_19_baseline_repro_062aee7ec9_research
exp_20_ens_3_6_12_ew,3,6,ew,5.0,0.0,True,False,ens_3_6_12,none,0.0,0.0,248,0.31636570934104746,0.8188496162950532,2.204418023059031,-0.4923343520732818,0.8495509234283266,-0.3357942381205953,148,248,4,research,0.2,20260510_134922_exp_20_ens_3_6_12_ew_83a607449b_research
exp_21_ens_3_6_12_cls,3,6,ew,5.0,0.0,True,False,ens_3_6_12_cls,none,0.0,0.0,248,0.3565378188577377,0.9237327199815243,2.3372302599773063,-0.4783289375375585,0.8495509234283266,-0.3357942381205953,145,248,4,research,0.21,20260510_134922_exp_21_ens_3_6_12_cls_c205b13c4a_research
exp_22_ens_3_6_12_invvol,3,6,ew,5.0,0.0,True,False,ens_3_6_12_invvol,none,0.0,0.0,248,0.31636570934104746,0.8188496162950532,2.204418023059031,-0.4923343520732818,0.8495509234283266,-0.3357942381205953,148,248,4,research,0.19,20260510_134922_exp_22_ens_3_6_12_invvol_1807c34813_research
exp_23_ens_36_12wt,3,6,ew,5.0,0.0,True,False,ens_36_12wt,none,0.0,0.0,248,0.33395628551275247,0.8458745960389418,2.2400001320670744,-0.4923343520732819,0.8495509234283266,-0.3357942381205953,152,248,4,research,0.2,20260510_134923_exp_23_ens_36_12wt_46318c836a_research
exp_24_ens_3_6_12_cy,3,6,ew,5.0,0.03,True,False,ens_3_6_12,none,0.0,0.0,248,0.3169934427356671,0.8199996049074346,2.2073555647080703,-0.48856895952352,0.8495509234283266,-0.3357942381205953,152,248,4,research,0.2,20260510_134923_exp_24_ens_3_6_12_cy_58cc3c97fa_research
exp_25_ens_3_6_12_K5,5,6,ew,5.0,0.0,True,False,ens_3_6_12,none,0.0,0.0,248,0.30985214570009645,0.9107120533482416,2.235946083207574,-0.43942888098514843,0.665883963159713,-0.27352511831596765,154,248,4,research,0.2,20260510_134923_exp_25_ens_3_6_12_K5_afa3861492_research
exp_26_ens_3_6_12_K2,2,6,ew,5.0,0.0,True,False,ens_3_6_12,none,0.0,0.0,248,0.37928555891296,0.8142648028608678,2.232514422741959,-0.6906744930515392,1.0267104282292647,-0.43046682431967015,144,248,4,research,0.18,20260510_134923_exp_26_ens_3_6_12_K2_1db8efb675_research
exp_27_tilt_005,3,6,ew,5.0,0.0,True,False,ml_3plus6_plus_12m_tilt,none,0.0,0.0,248,0.3569221336037949,0.8716897551985916,2.3360818825637577,-0.4982861928502924,0.8495509234283266,-0.3357942381205953,148,248,4,research,0.21,20260510_135021_exp_27_tilt_005_ae82291a72_research
exp_28_tilt_015,3,6,ew,5.0,0.0,True,False,ml_3plus6_plus_12m_tilt_strong,none,0.0,0.0,248,0.352744450303758,0.8882528367981414,2.2309763798471054,-0.5327116109463521,0.8495509234283266,-0.3357942381205953,146,248,4,research,0.19,20260510_135022_exp_28_tilt_015_bbc3d9dac7_research
exp_29_cls_filter_018,3,6,ew,5.0,0.0,True,False,ml_3plus6_cls_filter,none,0.0,0.0,248,0.4072878839030907,0.9495963415254853,2.611275660573565,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,153,248,4,research,0.18,20260510_135022_exp_29_cls_filter_018_93b756e6d7_research
exp_30_cls_filter_025,3,6,ew,5.0,0.0,True,False,ml_3plus6_cls_filter_tight,none,0.0,0.0,248,0.3780987269101619,0.8995752571780091,2.4340305158905045,-0.4982861928502926,0.8495509234283266,-0.3357942381205953,147,248,4,research,0.18,20260510_135022_exp_30_cls_filter_025_8cc23492d9_research
exp_31_cls_tilt,3,6,ew,5.0,0.0,True,False,ml_3plus6_cls_tilt,none,0.0,0.0,248,0.3972532296416105,0.9210927138329109,2.511560655344752,-0.4982861928502928,0.8495509234283266,-0.3357942381205953,148,248,4,research,0.17,20260510_135022_exp_31_cls_tilt_ebb0a78062_research
exp_32_disp_K35_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,3,0.5,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.16,20260510_135136_exp_32_disp_K35_p50_70677d5d6a_research
exp_33_disp_K310_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,10,3,0.5,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.15,20260510_135137_exp_33_disp_K310_p50_b9f1878646_research
exp_34_disp_K25_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,2,0.5,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.15,20260510_135137_exp_34_disp_K25_p50_4d424565cd_research
exp_35_disp_K57_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,7,5,0.5,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.15,20260510_135137_exp_35_disp_K57_p50_192e067682_research
exp_36_disp_inv_K53_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,3,5,0.5,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.15,20260510_135137_exp_36_disp_inv_K53_p50_39b5659d2e_research
exp_37_disp_K35_p33,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,3,0.33,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.15,20260510_135137_exp_37_disp_K35_p33_8bf2a506ff_research
exp_38_disp_K35_p67,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,3,0.67,248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,research,0.17,20260510_135137_exp_38_disp_K35_p67_ea3c693e08_research
exp_39_disp_K35_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,3,0.5,248,0.315260425090339,0.8416411781154217,2.0906231348029882,-0.5909142089595414,0.8495509234283266,-0.30405007199036277,152,248,4,research,0.21,20260510_135254_exp_39_disp_K35_p50_fefb1b2d50_research
exp_40_disp_K310_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,10,3,0.5,248,0.29185220405686274,0.8630990854225374,2.071672772865387,-0.5129299105391337,0.8495509234283266,-0.24117432691029841,157,248,4,research,0.22,20260510_135254_exp_40_disp_K310_p50_2e962ea49c_research
exp_41_disp_inv_K53_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,3,5,0.5,248,0.39054475039846537,0.9560737101296005,2.5680493174903587,-0.4982861928502927,0.8284814542966099,-0.3357942381205953,160,248,4,research,0.22,20260510_135254_exp_41_disp_inv_K53_p50_56c61d5b27_research
exp_42_disp_K15_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,1,0.5,248,0.3032840511020094,0.7073564242620975,1.8632170662892362,-0.6040235863243032,1.479310283025864,-0.30405007199036277,151,248,4,research,0.19,20260510_135254_exp_42_disp_K15_p50_aeb361478c_research
exp_43_disp_K23_p50,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,3,2,0.5,248,0.41772538928497416,0.9323129602225875,2.550815039023221,-0.49828619285029285,0.991011589087929,-0.3357942381205953,152,248,4,research,0.2,20260510_135255_exp_43_disp_K23_p50_f00ade0ea8_research
exp_44_disp_K35_p33,3,6,ew,5.0,0.0,True,False,ml_3plus6,none,0.0,0.0,True,5,3,0.33,248,0.3179947541888304,0.8424050077478971,2.0960226131578494,-0.5909142089595414,0.8495509234283266,-0.30405007199036277,151,248,4,research,0.21,20260510_135255_exp_44_disp_K35_p33_327e01bf06_research
